complex_id	apexes (fully_observed)	apexes (partially_observed)
2752		
2753		
428		
3092	"19,20"	65
2236	5	56
1166-1	5	56
1170	5	56
1171	5	56
1173	"5,15,57"	
1175	5	
1238		"6,15"
1239		"6,15"
149-1		"6,15,24"
149-3		"6,15,24"
189-2		"6,15,24"
189-6	15	"6,24"
238-2	15	"6,24"
2852	15	"6,24"
2856	"6,15,24"	
302		
3065-1	"6,15"	24
3065-2	"6,15"	24
3065-3	"6,15"	24
525	6	57
554		"5,15,24"
556		"5,15,24"
565-1		"5,15,24"
565-2		"5,15,24"
565-3		"5,15,24"
787		"4,55"
799		"4,55"
2936		4
2939		4
2369		
2453		
2454		
2542		
5171	25	
6036		
5388		
5391		
5389		
2710		
2709		
2342		
3026		
3027		
3042		
3059	35	
5608		
5611	7	45
2351		
2375		
2376		
2383		10
2850		10
1539		
5211		"10,48"
5873		
5877		
5919-1		10
5919-2		10
5919-3		10
5919-4		10
5919-5		10
5919-6		10
5919-7		10
5920-1		
5920-2		
5922-1		
5922-2		
5922-3		
5923		
5924		
5928		
4216		
280		53
2179		"37,47"
2224		4
2670		
2678		
2679		
2681		
2821		
2842		
2844		
3170		
3172		
5288		
5331		
577		
98		
1199	"12,20"	
1200	"12,21"	
143	12	
2711		
3093		
2355		
2356		
2358		
2359		
2362		
2363		"12,20,25"
2364		
2365		
2366		
2370		
2373		
2374		
2377		
2378		
2379		
2381		
2382		
2816		
2826		
2846		
2849		
2872-1		
2872-2		
2882		
2896		
3103		"12,22"
3115		
2153		
5183		"7,15,45"
306-1		"6,15"
306-2		"6,16"
308		"6,15"
5380	7	
2384	"11,20"	
2385	"11,20"	
2390-1	"11,20,65"	
2390-2	"11,20,65"	
2395	"10,20,65"	
2396	"10,20,65"	
2397		
2398	"10,35"	65
2399	10	20
2400		
2401		
2406		
2411		
2413		
2416	"20,63"	
2417		10
2418	10	
2419	"10,20"	70
2420	"10,20"	
2421	"10,20"	
2422	"10,20"	
2423	"10,20"	
2424	"10,20"	
2426	"10,20"	
2428	"10,20"	
2429	"10,20"	
2430	"10,20"	
2431		"10,20"
2432	"10,20"	
2434		10
2435	10	
2436	"10,20"	
2439	"10,20"	
2440		
2442		
2443		
2444		
2445		
2446		
2447		
2853	"10,20"	
2885	"10,20"	
2971		
2972		
2989		
3035		
3057		
3058		
3111		
3112	"10,20"	
2577		
1067		
2559		
2565		
2879		
2944		
2955		
756		
1250		
1372		
1488		
3269		
3853		
5099		
5143		
5146		
5656		
5663		
722		
723		
1005		
243		
5543	50	
5544	50	
5545	50	
5546	50	
5550	50	
5551	50	
5557		
5559	"50,64"	
5643		
5253-1	26	
5253-2	26	
362		36
1226		
1227		
1729		
220		
3135		
5154		
2343		
2345		
2346	"10,20"	
2347		
2350		
2352		
2353		
2354		
3110		
3117		
472	35	
474		
2837		
3159		
2112		
4158-1		
5199		52
5212		
5269		
5622		
5716		
5718		
924		
2220	46	
368	46	
531	46	
432	35	
5423-1		
3032		
4158-2		
5849		
5980		
2456		
2541		
1261		
305-1		"6,15"
305-2		"6,15"
338		"6,15"
1148		
2719		
1004		
1193		45
2625		
3137-1		
3137-2		
3137-3		
3142		
5179		
5235		
1003		10
1098-1		
1098-2		
1099-1		
1099-2		
1100	35	
1107		
1108		
1111-1		
1111-2		
2728		
1379	53	
1178		
1308		
2129	31	
6037	35	
1106		
1760		
1633		
1642	60	
3084		
3085		
3086		
312		
5100		
5101		
5107		
5287		
1039		
1092		
1160		
1163		
2201		50
2231		
2797		50
285		
286	42	
289	42	
290		
297		
311		
313		
314		
376		
377	42	
424		
860		
4025		
5177		
1826		
1834		
521	"10,20"	
522	"10,20"	
5281	"10,20"	
5319		
5320		
2073		
2470		
2471	55	
5282		
5713		
1220		"15,45"
1571		
2766		
2918		"15,45"
3102		
322	15	45
328	"15,45"	
355	"15,45"	
356	"15,45"	
357	"15,45"	
3618	15	
4081	"15,45"	
4082		"15,45"
